borough,block,lot,address,zip_code,development,managed_by,cd,facility,borocode,bbl
QUEENS,15902,46,153 BEACH 59TH STREET,11692,FHA REPOSSESSED HOUSES (GROUP X),BAISLEY PARK,14,,4,4159020046
QUEENS,16045,15,69-33 BAYFIELD AVENUE,11692,FHA REPOSSESSED HOUSES (GROUP II),BAISLEY PARK,14,,4,4160450015
STATEN ISLAND,2832,68,70 NEW LANE,10305,NEW LANE AREA,SOUTH BEACH,1,SATELLITE DEVELOPMENT MANAGEMENT OFFICE/ SENIOR CENTER/ ROOFTOP LEASE LOCATION,5,5028320068
BRONX,2281,55,451 EAST 136TH STREET,10454,"BETANCES III, 18",MITCHEL,1,"BASKETBALL COURT (PART OF LOT #60, WHICH IS NOW LOT#55 BEING RETAINED BY NYCHA)",2,2022810055
BRONX,2287,26,450 EAST 143RD STREET,10454,BETANCES V,BETANCES,1,DEVELOPMENT GROUNDS,2,2022870026
BRONX,2291,30,460 EAST 147TH STREET,10455,BETANCES VI,BETANCES,1,BOILER,2,2022910030
BRONX,2291,50,455 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,BOILER/ BRICKLAYERS SHOP,2,2022910050
BRONX,2298,62,361 EAST 135TH STREET,10454,MITCHEL,NYC DEPT OF PARKS,1,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION)/ CABINET STORAGE/ CARPENTERS SHOP/ GROUNDS SHOP,2,2022980062
BRONX,2398,14,372 EAST 152ND STREET,10455,EAST 152ND STREET-COURTLANDT AVENUE,MELROSE,1,SENIOR CENTER,2,2023980014
BRONX,2399,10,370 EAST 153RD STREET,10455,EAST 152ND STREET-COURTLANDT AVENUE,MELROSE,1,BOILER,2,2023990010
BRONX,2402,11,366 EAST 156TH STREET,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,1,PSA #7 PARKING LOT,2,2024020011
BRONX,2402,12,368 EAST 156TH STREET,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,1,PSA #7 PARKING LOT,2,2024020012
BRONX,2402,31,379 EAST 155TH STREET,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,1,PSA #7 PARKING LOT,2,2024020031
BRONX,2402,32,377 EAST 155TH STREET,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,1,PSA #7 PARKING LOT,2,2024020032
BRONX,2402,33,375 EAST 155TH STREET,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,1,PSA #7 PARKING LOT,2,2024020033
BRONX,2402,34,373 EAST 155TH STREET,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,1,PSA #7 PARKING LOT,2,2024020034
BRONX,2402,35,371 EAST 155TH STREET,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,1,PSA #7 PARKING LOT,2,2024020035
BRONX,2402,36,369 EAST 155TH STREET,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,1,PSA #7 PARKING LOT,2,2024020036
BRONX,2427,3,1228 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,4,BOILER,2,2024270003
BRONX,2427,4,1232 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 2),CLAREMONT CONSOLIDATED,4,,2,2024270004
BRONX,2427,6,1236 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 2),CLAREMONT CONSOLIDATED,4,BOILER,2,2024270006
BRONX,2427,7,1240 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,4,BOILER,2,2024270007
BRONX,2427,9,1244 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 2),CLAREMONT CONSOLIDATED,4,BOILER,2,2024270009
BRONX,2427,10,1248 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,4,BOILER,2,2024270010
BRONX,2427,12,1252 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,4,BOILER,2,2024270012
BRONX,2428,3,1046 TELLER AVENUE,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,4,BOILER,2,2024280003
BRONX,2428,4,1052 TELLER AVENUE,10456,CLAREMONT REHAB (GROUP 3),CLAREMONT CONSOLIDATED,4,DEVELOPMENT MANAGEMENT OFFICE/ BOILER,2,2024280004
BRONX,2428,9,1064 TELLER AVENUE,10456,CLAREMONT REHAB (GROUP 3),CLAREMONT CONSOLIDATED,4,TENANT ASSOCIATION ROOM/ BOILER,2,2024280009
BRONX,2428,12,1068 TELLER AVENUE,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,4,BOILER/ EXTERMINATOR SHOP,2,2024280012
BRONX,2428,15,1072 TELLER AVENUE,10456,CLAREMONT REHAB (GROUP 3),CLAREMONT CONSOLIDATED,4,BOILER,2,2024280015
BRONX,2430,30,1195 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 2),CLAREMONT CONSOLIDATED,4,COMMERCIAL SPACE (NOT FPA)/TENANT ASSOCIATION ROOM/ BOILER,2,2024300030
BRONX,2434,26,1131 FINDLAY AVENUE,10456,CLAREMONT REHAB (GROUP 5),CLAREMONT CONSOLIDATED,4,MAINTENANCE OPERATION/ TENANT ASSOCIATION ROOM/ BOILER/ MAIN STOREROOM/ PLUMBERS SHOP,2,2024340026
BRONX,2434,30,1129 FINDLAY AVENUE,10456,CLAREMONT REHAB (GROUP 5),CLAREMONT CONSOLIDATED,4,DEVELOPMENT GROUNDS,2,2024340030
BRONX,2434,42,1105 FINDLAY AVENUE,10456,CLAREMONT REHAB (GROUP 5),CLAREMONT CONSOLIDATED,4,DEVELOPMENT GROUNDS,2,2024340042
BRONX,2434,53,1114 FINDLAY AVENUE,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,4,BOILER/ STORAGE ROOM,2,2024340053
BRONX,2434,74,1129 TELLER AVENUE,10456,CLAREMONT REHAB (GROUP 3),CLAREMONT CONSOLIDATED,4,BOILER,2,2024340074
BRONX,2434,88,335 EAST 166TH STREET,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,4,BOILER,2,2024340088
BRONX,2509,18,1085 ANDERSON AVENUE,10452,HIGHBRIDGE REHABS (ANDERSON AVENUE),KRAUS MANAGEMENT (PRIVATE - BX 2),4,BOILER/ TWO STORAGE ROOMS,2,2025090018
BRONX,2513,50,1144 NELSON AVENUE,10452,HIGHBRIDGE REHABS (NELSON AVENUE),KRAUS MANAGEMENT (PRIVATE - BX 2),4,DEVELOPMENT MANAGEMENT OFFICE/ BOILER/ LAUNDRY ROOM,2,2025130050
BRONX,2514,15,134 WEST 166TH STREET,10452,HIGHBRIDGE REHABS (ANDERSON AVENUE),KRAUS MANAGEMENT (PRIVATE - BX 2),4,TWO STORAGE ROOMS,2,2025140015
BRONX,2514,20,130 WEST 166TH STREET,10452,HIGHBRIDGE REHABS (ANDERSON AVENUE),KRAUS MANAGEMENT (PRIVATE - BX 2),4,BOILER/ THREE STORAGE ROOMS,2,2025140020
BRONX,2514,67,1139 NELSON AVENUE,10452,HIGHBRIDGE REHABS (NELSON AVENUE),KRAUS MANAGEMENT (PRIVATE - BX 2),4,BOILER/ STORAGE ROOM,2,2025140067
BRONX,2514,70,1135 NELSON AVENUE,10452,HIGHBRIDGE REHABS (NELSON AVENUE),KRAUS MANAGEMENT (PRIVATE - BX 2),4,DEVELOPMENT GROUNDS/PARKING LOT,2,2025140070
BRONX,2514,72,1127 NELSON AVENUE,10452,HIGHBRIDGE REHABS (NELSON AVENUE),KRAUS MANAGEMENT (PRIVATE - BX 2),4,DEVELOPMENT GROUNDS/PARKING LOT,2,2025140072
BRONX,2514,73,1125 NELSON AVENUE,10452,HIGHBRIDGE REHABS (NELSON AVENUE),KRAUS MANAGEMENT (PRIVATE - BX 2),4,DEVELOPMENT GROUNDS/PARKING LOT,2,2025140073
BRONX,2514,77,125 WEST 166TH STREET,10452,HIGHBRIDGE REHABS (ANDERSON AVENUE),KRAUS MANAGEMENT (PRIVATE - BX 2),4,COMMUNITY OPERATIONS SPACE (VACANT)/ BOILER/ LAUNDRY ROOM,2,2025140077
BRONX,2548,42,169 CYPRESS AVENUE,10454,MILL BROOK EXTENSION,MILL BROOK,1,ELEVATOR MECHANIC SHOP/ FILE STORAGE ROOM/ JANITORIAL STORAGE,2,2025480042
BRONX,2631,11,902 CAULDWELL AVENUE,10456,MCKINLEY,NYC DEPT OF PARKS,3,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),2,2026310011
BRONX,2678,1,950 UNION AVENUE,10459,UNION AVENUE-EAST 163RD STREET,UNION AVENUE CONSOLIDATED,3,SENIOR CENTER/ STORAGE ROOM/ BOILER/ LAUNDRY ROOM/ ROOFTOP LEASE LOCATION,2,2026780001
BRONX,2678,68,951 PROSPECT AVENUE,10459,PSS GRANDPARENT FAMILY APARTMENTS,"WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING, INC. (PRIVATE)",3,DEVELOPMENT MANAGEMENT OFFICE,2,2026780068
BRONX,2740,13,867 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,,2,2027400013
BRONX,2740,15,863 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,BOILER,2,2027400015
BRONX,2740,16,859 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,,2,2027400016
BRONX,2740,18,855 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,,2,2027400018
BRONX,2740,19,851 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,BOILER,2,2027400019
BRONX,2740,21,847 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,,2,2027400021
BRONX,2740,22,843 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,,2,2027400022
BRONX,2740,24,839 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,BOILER,2,2027400024
BRONX,2740,25,835 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,,2,2027400025
BRONX,2740,27,831 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,,2,2027400027
BRONX,2740,28,827 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,BOILER,2,2027400028
BRONX,2740,30,823 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,,2,2027400030
BRONX,2740,31,819 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,PLAYGROUND,2,2027400031
BRONX,2750,16,1070 FAILE STREET,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,PLAYGROUND,2,2027500016
BRONX,2750,32,1071 BRYANT AVENUE,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,PLAYGROUND,2,2027500032
BRONX,2751,30,1209 WESTCHESTER AVENUE,10459,WEST FARMS ROAD REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,BOILER/ STOREROOM,2,2027510030
BRONX,2751,33,1203 WESTCHESTER AVENUE,10459,WEST FARMS ROAD REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,,2,2027510033
BRONX,2754,46,1143 LONGFELLOW AVENUE,10459,WEST FARMS SQUARE CONVENTIONAL,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,BOILER,2,2027540046
BRONX,2757,20,1091 LONGFELLOW AVENUE,10459,LONGFELLOW AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,BOILER,2,2027570020
BRONX,2757,80,1102 LONGFELLOW AVENUE,10459,LONGFELLOW AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,BOILER,2,2027570080
BRONX,2761,3,875 IRVINE STREET,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,DAY CARE CENTER/ BOILER,2,2027610003
BRONX,2868,144,1925 HARRISON AVENUE,10453,HARRISON AVENUE REHAB (GROUP B),KRAUS MANAGEMENT (PRIVATE - BX 3),5,DEVELOPMENT MANAGEMENT OFFICE/ DEVELOPMENT MAINTENANCE OFFICE/ BOILER/ STOCK ROOM,2,2028680144
BRONX,2869,77,1886 HARRISON AVENUE,10453,HARRISON AVENUE REHAB (GROUP B),KRAUS MANAGEMENT (PRIVATE - BX 3),5,STOCK ROOM/ NYCHA RELOCATION UNIT/ BOILER,2,2028690077
BRONX,2869,110,1920 HARRISON AVENUE,10453,HARRISON AVENUE REHAB (GROUP B),KRAUS MANAGEMENT (PRIVATE - BX 3),5,BOILER,2,2028690110
BRONX,2869,116,1930 HARRISON AVENUE,10453,HARRISON AVENUE REHAB (GROUP A),KRAUS MANAGEMENT (PRIVATE - BX 3),5,BOILER,2,2028690116
BRONX,2869,122,1934 HARRISON AVENUE,10453,HARRISON AVENUE REHAB (GROUP B),KRAUS MANAGEMENT (PRIVATE - BX 3),5,BOILER,2,2028690122
BRONX,2877,497,228 WEST TREMONT AVENUE,10453,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,SEDGWICK,5,SATELLITE DEVELOPMENT MANAGEMENT OFFICE / COMMUNITY OPERATIONS SPACE (VACANT)/ COMMUNITY OPERATIONS OFFICE SPACE/ BOILER/ LAUNDRY ROOM,2,2028770497
BRONX,2879,32,1921 UNIVERSITY AVENUE,10453,UNIVERSITY AVENUE REHAB,KRAUS MANAGEMENT (PRIVATE - BX 3),5,DEVELOPMENT GROUNDS,2,2028790032
BRONX,2879,33,1895 UNIVERSITY AVENUE,10453,UNIVERSITY AVENUE REHAB,KRAUS MANAGEMENT (PRIVATE - BX 3),5,BOILER,2,2028790033
BRONX,2879,41,1875 UNIVERSITY AVENUE,10453,UNIVERSITY AVENUE REHAB,KRAUS MANAGEMENT (PRIVATE - BX 3),5,BOILER,2,2028790041
BRONX,2879,43,1865 UNIVERSITY AVENUE,10453,UNIVERSITY AVENUE REHAB,KRAUS MANAGEMENT (PRIVATE - BX 3),5,BOILER,2,2028790043
BRONX,2931,64,1385 FRANKLIN AVENUE,10456,FRANKLIN AVENUE II CONVENTIONAL,KRAUS MANAGEMENT (PRIVATE - BX 2),3,DEVELOPMENT GROUNDS,2,2029310064
BRONX,2935,3,1390 FRANKLIN AVENUE,10456,FRANKLIN AVENUE II CONVENTIONAL,KRAUS MANAGEMENT (PRIVATE - BX 2),3,BOILER/ TWO STORAGE ROOMS,2,2029350003
BRONX,2935,5,1392 FRANKLIN AVENUE,10456,FRANKLIN AVENUE II CONVENTIONAL,KRAUS MANAGEMENT (PRIVATE - BX 2),3,BOILER/ TWO STORAGE ROOMS,2,2029350005
BRONX,2935,7,1394 FRANKLIN AVENUE,10456,FRANKLIN AVENUE II CONVENTIONAL,KRAUS MANAGEMENT (PRIVATE - BX 2),3,BOILER/ TWO STORAGE ROOMS,2,2029350007
BRONX,2935,30,631 JEFFERSON PLACE,10456,FRANKLIN AVENUE III CONVENTIONAL,KRAUS MANAGEMENT (PRIVATE - BX 2),3,BOILER/ TWO STORAGE ROOMS,2,2029350030
BRONX,2982,29,1563 HOE AVENUE,10460,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,PARKING LOT,2,2029820029
BRONX,2982,32,1557 HOE AVENUE,10460,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,PLAYGROUND,2,2029820032
BRONX,2982,35,1551 HOE AVENUE,10460,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,PLAYGROUND,2,2029820035
BRONX,2982,38,1545 HOE AVENUE,10460,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,PLAYGROUND,2,2029820038
BRONX,2982,44,1537 HOE AVENUE,10460,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,DEVELOPMENT GROUNDS,2,2029820044
BRONX,2982,45,1535 HOE AVENUE,10460,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,DEVELOPMENT GROUNDS,2,2029820045
BRONX,2982,46,1531 HOE AVENUE,10460,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,PARKING LOT,2,2029820046
BRONX,2982,48,1527 HOE AVENUE,10460,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,,2,2029820048
BRONX,2982,66,1533 HOE AVENUE,10460,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,PARKING LOT,2,2029820066
BRONX,2990,11,1700 HOE AVENUE,10460,HOE AVENUE-EAST 173RD STREET,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,BOILER,2,2029900011
BRONX,3033,53,1 FORDHAM PLAZA,10458,NON DEVELOPMENT FACILITY,RENTED PROPERTY,6,BRONX-MANHATTAN CUSTOMER CONTACT CENTER (CCC)/ HOUSING APPLICATIONS OFFICE/ LEASED HOUSING OFFICE,2,2030330053
BRONX,3062,6,2120 QUARRY ROAD,10457,EAST 180TH STREET-MONTEREY AVENUE,TWIN PARKS CONSOLIDATED,6,DAY CARE CENTER,2,2030620006
BRONX,3094,14,2070 CLINTON AVENUE,10457,TWIN PARKS EAST (SITE 9),TWIN PARKS CONSOLIDATED,6,SENIOR CENTER/ COMMERCIAL SPACE (STORE #1)/ BOILER/ LAUNDRY ROOM/ BASEMENT STORAGEROOM,2,2030940014
BRONX,3143,240,390 EAST 184TH STREET,10458,TWIN PARKS WEST (SITES 1 & 2),TWIN PARKS CONSOLIDATED,5,PARKING LOT,2,2031430240
BRONX,3509,25,444 TORRY AVENUE,10473,FHA REPOSSESSED HOUSES (GROUP II),BAISLEY PARK,9,,2,2035090025
BRONX,3512,39,447 EFFINGHAM AVENUE,10473,FHA REPOSSESSED HOUSES (GROUP IV),BAISLEY PARK,9,,2,2035120039
BRONX,3714,36,1057 BOYNTON AVENUE,10472,BOYNTON AVENUE REHAB,BRONX RIVER,9,DAY CARE CENTER/ BOILER/ CARPENTERS SHOP/ PLASTERERS SHOP/ REFRIGERATOR SHOP/ STORAGE/ X-SHOP,2,2037140036
BRONX,3715,23,1044 BOYNTON AVENUE,10472,BOYNTON AVENUE REHAB,BRONX RIVER,9,BOILER,2,2037150023
BRONX,3715,25,1048 BOYNTON AVENUE,10472,BOYNTON AVENUE REHAB,BRONX RIVER,9,BOILER,2,2037150025
BRONX,3715,27,1052 BOYNTON AVENUE,10472,BOYNTON AVENUE REHAB,BRONX RIVER,9,DEVELOPMENT GROUNDS,2,2037150027
BRONX,4226,70,1200 WATERS PLACE,10461,NON DEVELOPMENT FACILITY,RENTED PROPERTY,11,BRONX BOROUGH PROPERTY MANAGEMENT OFFICE/ BRONX COMMUNITY PROGRAMS AND DEVELOPMENT BOROUGH OFFICE/ NYCHA FAMILY SERVICES OFFICE/ CPD BOROUGH FIELD OFFICE/ LHD SECTION 8 INSPECTORS,2,2042260070
BRONX,4781,29,3027 EDSON AVENUE,10469,FHA REPOSSESSED HOUSES (GROUP III),BAISLEY PARK,12,,2,2047810029
BRONX,5568,1,650 BUTTRICK AVENUE,10465,RANDALL AVENUE-BALCOM AVENUE,THROGGS NECK,10,,2,2055680001
BRONX,5568,50,2705 SCHLEY AVENUE,10465,RANDALL AVENUE-BALCOM AVENUE,THROGGS NECK,10,SENIOR CENTER/ BOILER/ LAUNDRY ROOM/ BRICKLAYERS SHOP/ EXTERMINATOR SHOP/ PAINT SHOP,2,2055680050
BRONX,5568,100,2700 RANDALL AVENUE,10465,RANDALL AVENUE-BALCOM AVENUE,THROGGS NECK,10,,2,2055680100
BRONX,5702,1,210 WEST 230TH STREET,10463,MARBLE HILL,MARBLE HILL,8,BRICKLAYERS SHOP/ CARPENTERS CABINET SUPPLY ROOM/ PLUMBERS SHOP/ STORAGE ROOM,2,2057020001
BROOKLYN,1330,7,334 LEFFERTS AVENUE,11225,FENIMORE-LEFFERTS,REID APARTMENTS,9,BOILER,3,3013300007
BROOKLYN,1330,8,336 LEFFERTS AVENUE,11225,FENIMORE-LEFFERTS,REID APARTMENTS,9,BOILER,3,3013300008
BROOKLYN,1330,9,338 LEFFERTS AVENUE,11225,FENIMORE-LEFFERTS,REID APARTMENTS,9,BOILER,3,3013300009
BROOKLYN,1330,10,340 LEFFERTS AVENUE,11225,FENIMORE-LEFFERTS,REID APARTMENTS,9,BOILER,3,3013300010
BROOKLYN,1330,11,342 LEFFERTS AVENUE,11225,FENIMORE-LEFFERTS,REID APARTMENTS,9,BOILER,3,3013300011
BROOKLYN,1330,12,344 LEFFERTS AVENUE,11225,FENIMORE-LEFFERTS,REID APARTMENTS,9,BOILER,3,3013300012
BROOKLYN,1357,65,1371 SAINT MARKS AVENUE,11233,CROWN HEIGHTS,PARK ROCK CONSOLIDATED,8,LAUNDRY ROOM,3,3013570065
BROOKLYN,1357,68,1367 SAINT MARKS AVENUE,11233,CROWN HEIGHTS,PARK ROCK CONSOLIDATED,8,BOILER,3,3013570068
BROOKLYN,1369,58,1629 PARK PLACE,11233,CROWN HEIGHTS,PARK ROCK CONSOLIDATED,8,BOILER,3,3013690058
BROOKLYN,1373,34,1468 PARK PLACE,11213,PARK ROCK REHAB,PARK ROCK CONSOLIDATED,8,,3,3013730034
BROOKLYN,1373,37,1474 PARK PLACE,11213,PARK ROCK REHAB,PARK ROCK CONSOLIDATED,8,BOILER,3,3013730037
BROOKLYN,1373,43,208 ROCHESTER AVENUE,11213,PARK ROCK REHAB,PARK ROCK CONSOLIDATED,8,BOILER,3,3013730043
BROOKLYN,1373,46,218 ROCHESTER AVENUE,11213,PARK ROCK REHAB,PARK ROCK CONSOLIDATED,8,,3,3013730046
BROOKLYN,1373,49,1521 STERLING PLACE,11213,PARK ROCK REHAB,PARK ROCK CONSOLIDATED,8,BOILER,3,3013730049
BROOKLYN,1373,54,1511 STERLING PLACE,11213,STERLING PLACE REHABS (SAINT JOHNS-STERLING),PARK ROCK CONSOLIDATED,8,BOILER,3,3013730054
BROOKLYN,1375,2,225 BUFFALO AVENUE,11213,STERLING PLACE REHABS (STERLING-BUFFALO),PARK ROCK CONSOLIDATED,8,BOILER,3,3013750002
BROOKLYN,1375,29,1630 PARK PLACE,11233,CROWN HEIGHTS,PARK ROCK CONSOLIDATED,8,,3,3013750029
BROOKLYN,1375,31,1636 PARK PLACE,11233,CROWN HEIGHTS,PARK ROCK CONSOLIDATED,8,,3,3013750031
BROOKLYN,1375,34,1640 PARK PLACE,11233,CROWN HEIGHTS,PARK ROCK CONSOLIDATED,8,BOILER,3,3013750034
BROOKLYN,1375,36,1646 PARK PLACE,11233,CROWN HEIGHTS,PARK ROCK CONSOLIDATED,8,,3,3013750036
BROOKLYN,1379,8,1448 STERLING PLACE,11213,STERLING PLACE REHABS (STERLING-BUFFALO),PARK ROCK CONSOLIDATED,8,BOILER/ CARPENTERS SHOP/ STOREROOM,3,3013790008
BROOKLYN,1379,11,1452 STERLING PLACE,11213,STERLING PLACE REHABS (STERLING-BUFFALO),PARK ROCK CONSOLIDATED,8,BOILER,3,3013790011
BROOKLYN,1379,31,1506 STERLING PLACE,11213,STERLING PLACE REHABS (SAINT JOHNS-STERLING),PARK ROCK CONSOLIDATED,8,BOILER,3,3013790031
BROOKLYN,1379,41,232 ROCHESTER AVENUE,11213,PARK ROCK REHAB,PARK ROCK CONSOLIDATED,8,,3,3013790041
BROOKLYN,1379,43,234 ROCHESTER AVENUE,11213,PARK ROCK REHAB,PARK ROCK CONSOLIDATED,8,BOILER,3,3013790043
BROOKLYN,1379,55,1491 SAINT JOHNS PLACE,11213,STERLING PLACE REHABS (SAINT JOHNS-STERLING),PARK ROCK CONSOLIDATED,8,BOILER,3,3013790055
BROOKLYN,1379,59,1487 SAINT JOHNS PLACE,11213,STERLING PLACE REHABS (SAINT JOHNS-STERLING),PARK ROCK CONSOLIDATED,8,PLAYGROUND,3,3013790059
BROOKLYN,1379,63,1483 SAINT JOHNS PLACE,11213,STERLING PLACE REHABS (SAINT JOHNS-STERLING),PARK ROCK CONSOLIDATED,8,BOILER/ BRICKLAYERS SHOP,3,3013790063
BROOKLYN,1380,25,1568 STERLING PLACE,11213,STERLING PLACE REHABS (STERLING-BUFFALO),PARK ROCK CONSOLIDATED,8,BOILER,3,3013800025
BROOKLYN,1380,28,1578 STERLING PLACE,11213,STERLING PLACE REHABS (STERLING-BUFFALO),PARK ROCK CONSOLIDATED,8,BOILER,3,3013800028
BROOKLYN,1380,31,1588 STERLING PLACE,11213,STERLING PLACE REHABS (STERLING-BUFFALO),PARK ROCK CONSOLIDATED,8,BOILER,3,3013800031
BROOKLYN,1380,34,1598 STERLING PLACE,11213,STERLING PLACE REHABS (STERLING-BUFFALO),PARK ROCK CONSOLIDATED,8,BOILER,3,3013800034
BROOKLYN,1381,13,1634 STERLING PLACE,11233,CROWN HEIGHTS,PARK ROCK CONSOLIDATED,8,BOILER,3,3013810013
BROOKLYN,1381,18,1640 STERLING PLACE,11233,STERLING PLACE REHABS (SAINT JOHNS-STERLING),PARK ROCK CONSOLIDATED,8,BOILER,3,3013810018
BROOKLYN,1431,37,2041 PACIFIC STREET,11233,OCEAN HILL-BROWNSVILLE,PARK ROCK CONSOLIDATED,16,BOILER,3,3014310037
BROOKLYN,1431,39,324 HOWARD AVENUE,11233,OCEAN HILL-BROWNSVILLE,PARK ROCK CONSOLIDATED,16,BOILER,3,3014310039
BROOKLYN,1439,1,2065 DEAN STREET,11233,OCEAN HILL-BROWNSVILLE,PARK ROCK CONSOLIDATED,16,BOILER,3,3014390001
BROOKLYN,1439,10,2020 PACIFIC STREET,11233,OCEAN HILL-BROWNSVILLE,PARK ROCK CONSOLIDATED,16,BOILER,3,3014390010
BROOKLYN,1463,41,1796 PROSPECT PLACE,11233,PROSPECT PLAZA II,OCEAN HILL II LLC,16,,3,3014630041
BROOKLYN,1466,42,486 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,DEVELOPMENT GROUNDS,3,3014660042
BROOKLYN,1466,43,488 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,DEVELOPMENT GROUNDS,3,3014660043
